Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Jornalistas Livres,895346,2017-11-02 12:31:47 BRST,Photo,64,3,14,4,4,1,1,0,0,,0,0,0,https://www.facebook.com/jornalistaslivres/posts/628583620598852,"O MTST É GENTE ARRANCANDO A VIDA COM AS MÃOS https://jornalistaslivres.org/2017/11/mtst-vida-com-as-maos/ ""Alckmin tem um Palácio para morar, trabalhar, os sem-teto tem lona levantada com madeira, em chão rústico, de mato, de rua, então, na triunfal chegada ao QG do governador, chamado ironicamente de 'Palácio dos Bandeirantes', eu desabei de emoção. O coração vermelho de gente, que eu avistava no trajeto da caminhada, levou vida aquela imponente construção."" Katia Passos, dos Jornalistas Livres Fotos: Lucas Porto/Jornalistas Livres",https://www.facebook.com/jornalistaslivres/photos/a.292153227575228.1073741829.292074710916413/628583333932214/?type=3,,,,,,-7.538461538461538
Jornal do Commercio,775395,2017-11-02 12:22:30 BRST,Link,22,8,0,0,0,2,0,1,0,,0,0,0,https://www.facebook.com/jornaldocommercioPE/posts/2050358618313625,Presidência de Alckmin no PSDB poderia impedir um racha no partido https://goo.gl/A9eAqQ:=:http://jconline.ne10.uol.com.br/canal/politica/nacional/noticia/2017/11/02/fortalecido-alckmin-vira-opcao-para-presidir-psdb-314217.php,http://jconline.ne10.uol.com.br/canal/politica/nacional/noticia/2017/11/02/fortalecido-alckmin-vira-opcao-para-presidir-psdb-314217.php,,"Fortalecido, Alckmin vira opção para presidir PSDB",,,,-6.151515151515151
Paulo Correa Jr,28549,2017-11-02 11:57:40 BRST,Link,9,0,2,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/Paulocorreajr/posts/1659570244093694,"Saiu na Imprensa !!! E a Lei Dia da Memória Pet segue ganhando destaque nas mídias! “Esta foi uma maneira de ressaltar o caráter ambiental e em especial a conscientização do abandono animal, isso porque um costume bastante tradicional também do National Pet Memorial day é o plantio de uma árvore ou um arbusto como um monumento comemorativo, como uma memória.” http://bompracachorro.blogfolha.uol.com.br/2017/11/02/sp-passa-a-celebrar-o-dia-da-memoria-pet-entenda/ #ComVocêaGenteFaz #PauloCorrêaJr #MemoriaPet #Pen #Patriota #SouPatriota",http://bompracachorro.blogfolha.uol.com.br/2017/11/02/sp-passa-a-celebrar-o-dia-da-memoria-pet-entenda/,,SP passa a celebrar o Dia da Memória Pet; entenda - Bom Pra Cachorro,"Lei promulgada em outubro pelo governador de São Paulo, Geraldo Alckmin (PSDB), institui o Dia da Memória Pet no Estado.O objetivo da data, que será lembrada...",,,-3.090909090909091
ABC do ABC,184257,2017-11-02 11:57:29 BRST,Link,9,0,3,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/abcdoabc/posts/1607974562601175,Será que basta?,http://www.abcdoabc.com.br/abc/noticia/alckmin-nomeia-1-240-policiais-civis-autoriza-abertura-2-750-vagas-57197,,Alckmin nomeia 1.240 policiais civis e autoriza abertura de 2.750 vagas,"Além do reforço do efetivo, ainda serão anunciadas outras medidas para a Polícia Civil, como compra de viaturas e modernização de delegacias",,,-4.0
UOL Notícias,4867854,2017-11-02 11:40:00 BRST,Link,334,130,33,8,1,82,1,46,0,,0,0,0,https://www.facebook.com/UOLNoticias/posts/2151367121544759,Mandato do governador de SP termina em 2018 https://goo.gl/dR58hy:=:https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2017/11/02/fortalecido-alckmin-vira-opcao-para-presidir-psdb.htm?utm_source=facebook.com&utm_medium=social&utm_campaign=fb-noticias&utm_content=geral,https://goo.gl/dR58hy,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2017/11/02/fortalecido-alckmin-vira-opcao-para-presidir-psdb.htm?utm_source=facebook.com&utm_medium=social&utm_campaign=fb-noticias&utm_content=geral,"Fortalecido, Alckmin vira opção para presidir PSDB",,,,-1.647244094488189
IstoÉ Dinheiro,174064,2017-11-02 11:12:31 BRST,Link,53,16,1,4,1,1,0,7,0,,0,0,0,https://www.facebook.com/istoedinheiro/posts/1753821607992205,Você concorda?,https://www.istoedinheiro.com.br/fortalecido-alckmin-vira-opcao-para-presidir-psdb/,,"Fortalecido, Alckmin vira opção para presidir PSDB",,,,1.3387096774193548
O Antagonista,785031,2017-11-02 10:59:06 BRST,Link,821,230,105,8,30,256,10,59,0,,0,0,0,https://www.facebook.com/oantagonista/posts/802908389900071,Só sobrou Geraldo Alckmin no PSDB.,https://www.oantagonista.com/brasil/dos-males-o-maior/,,"Dos males, o maior",,,,1.1144534115920763
ACidade ON Ribeirão,217423,2017-11-02 10:30:08 BRST,Link,399,63,65,16,5,2,0,2,0,,0,0,0,https://www.facebook.com/acidadeonribeirao/posts/1857283344299432,"💰 SEGURANÇA PÚBLICA 📝👮‍♂ Sete concursos públicos selecionarão 250 delegados, 800 escrivães e 600 investigadores dentre outros cargos","https://www.acidadeon.com/ribeiraopreto/cotidiano/policia/NOT,2,2,1285812,Alckmin+anuncia+abertura+de+2-750+vagas+da+Policia+Civil.aspx",,Alckmin anuncia abertura de 2.750 vagas da Polícia Civil,,,,4.088888888888889
Estadão,3690248,2017-11-02 10:28:03 BRST,Link,228,151,10,10,2,93,3,47,0,,0,0,0,https://www.facebook.com/estadao/posts/2209552169059833,Governador de São Paulo passou a ser cotado como alternativa para chefiar e pacificar a sigla em 2018 (Via Politica Estadão) #estadao,"http://politica.estadao.com.br/noticias/geral,fortalecido-alckmin-vira-opcao-para-presidir-psdb,70002069757",,"Fortalecido, Alckmin vira opção para presidir PSDB",,,,-1.9099264705882353
Diário do Poder,599877,2017-11-02 10:22:32 BRST,Link,139,47,25,0,1,24,0,12,0,,0,0,0,https://www.facebook.com/diariodopoder/posts/1963751363841060,,http://www.diariodopoder.com.br/noticia.php?i=91027587490,,"Fortalecido, Geraldo Alckmin vira opção para presidir PSDB","Alckmin foi sondado recentemente por deputados sobre a possibilidade de presidir a sigla, mas desconversou. Embora não descarte a ideia, ele quer preservar a boa relação que mantém com os dois nomes que pleiteiam o cargo: o governador de Goiás, Marconi Perillo, e o senador Tasso Jereissati (CE), pre...",,,1.0290456431535269
