Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
The Freeman,115165,2017-11-07 03:23:08 BRST,Link,3,0,1,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/thefreemannews/posts/1756713511062341,"TOP STORY: When withdrawing in public places, CCPO spokesman Senior Inspector Llewelyn Reyes reminded people to choose if possible a well-lighted ATM machine with a nearby guard.",http://www.philstar.com/cebu-news/2017/11/07/1756494/police-warn-check-atms-skimmers,,Police warn: Check ATMs for skimmers,"Since Christmas bonuses are expected to arrive, Cebu City Police Office director Senior Superintendent Joel Doria advised the public to be careful while transacting with Automated Teller Machines, to avoid falling victim to skimming devices.",,,-7.0
Cebu Daily News,242785,2017-11-07 03:05:02 BRST,Link,9,1,0,0,0,1,0,0,0,,0,0,0,https://www.facebook.com/cebudailynews/posts/10156043443549589,Police visibility to intensify,http://ebx.sh/2Ae0HMH,http://cebudailynews.inquirer.net/153414/police-visibility-intensify?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook#link_time=1510027805,Police visibility to intensify,"EXPECT more policemen in malls, terminals and other places of convergence in Cebu City as Christmas approaches. Senior Supt. Joel Doria, Cebu City Police Office (CCPO)...",,,-7.7272727272727275
FOX5 Las Vegas,396991,2017-11-07 02:06:32 BRST,Native Video,14,6,0,4,0,30,0,0,0,share,11231,11849,0,https://www.facebook.com/FOX5Vegas/posts/10155881240746672,Wow! You probably don’t want to miss and how to order a “cuddler” of your own.,https://www.facebook.com/MikeDoriaLV/videos/1487059324703271/,,Mike Doria,#TOMORROW: Wanna cuddle? I’ll be doing it from 5ato 9a on FOX5 Las Vegas.,,,-2.7777777777777777
SunStar Cebu,188066,2017-11-07 01:40:00 BRST,Link,7,1,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/sunstarcebu/posts/1486424651405090,"For the holiday season, CCPO will deploy more than half of its workforce on 12-hour shifts.",http://snstr.co/2S4,http://www.sunstar.com.ph/cebu/local-news/2017/11/06/city-cops-brace-christmas-573388,City cops brace for Christmas,"FOR the holiday season, the Cebu City Police Office (CCPO) will deploy more than half of its workforce on a 12-hour shift. CCPO Director Joel Doria said that instead of only eight hours, police officers will be detailed on the streets for 12 hours to increase police visibility during the Christmas s...",,,-15.25
Ethnic Sutra,201073,2017-11-07 01:30:01 BRST,Photo,59,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/EthnicSutra/posts/1335113206618003,Elegant in Kota Doria Code: ES6922 Price: 1595 Buy using http://ethnicsutra.com/Cottons--Kalamkari-and-Ikkats/Elegant-in-Kota-Doria-id-3371449.html Top: White printed soft cotton with a lovely design Bottom: Pink cotton Dupatta: Lovely casual wear kota doria in a pretty design,https://www.facebook.com/EthnicSutra/photos/a.255716614557673.60446.226778614118140/1335112953284695/?type=3,,Photos from Ethnic Sutra's post,,,,-1.728813559322034
Ethnic Sutra,201073,2017-11-07 01:30:00 BRST,Photo,66,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/EthnicSutra/posts/1335111043284886,Kota Elegance Code: ES6928 Price: 1100 Buy using http://ethnicsutra.com/Top-n-Dupatta/Kota-Elegance-id-3371444.html Top: Pink handloom cotton Dupatta: Kota doria in nice colors and design Note: Top n Dupatta ONLY,https://www.facebook.com/EthnicSutra/photos/a.255716614557673.60446.226778614118140/1335110929951564/?type=3,,Photos from Ethnic Sutra's post,,,,-1.5454545454545454
SunStar Cebu,188066,2017-11-07 01:19:00 BRST,Link,35,0,9,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/sunstarcebu/posts/1486418141405741,The halls of the CCPO headquarters were filled with the smiles of 33 foster children in an early Christmas gift-giving activity.,http://snstr.co/2S1,http://www.sunstar.com.ph/cebu/local-news/2017/11/07/cops-play-santa-give-early-gifts-kids-573389,"Cops play santa, give early gifts to kids","THE halls of the Cebu City Police Office (CCPO) headquarters were filled with smiles of 33 foster children in an early Christmas gift-giving activity activity organized for them yesterday morning. Jane Flores, 12, was surprised when she saw CCPO Director Senior Supt. Joel Doria enter the room to dis...",,,-2.772727272727273
Carlos Jordy,23682,2017-11-07 01:12:57 BRST,Photo,87,6,8,0,1,29,1,0,0,,0,0,0,https://www.facebook.com/carlosjordyoficial/posts/877353949107051,"Doria deveria escrever um livro, ou mesmo um manual: passo a passo para se perder a popularidade em tempo recorde. Se ele queria despencar, tá fazendo tudo certinho rs. A verdadeira direita agradece! http://politica.estadao.com.br/noticias/geral,doria-admite-ser-vice-de-alckmin-e-defende-alianca-de-centro,70002073526",https://www.facebook.com/carlosjordyoficial/photos/a.550718071770642.1073741829.522126697963113/877353922440387/?type=3,,,,,,-2.1818181818181817
Baixada Viva Notícias,310988,2017-11-07 00:39:03 BRST,Status,664,2499,37,11,7,37,1,31,0,,0,0,0,https://www.facebook.com/baixadavivanoticias/posts/1104085603028157,Enquete para Presidente. Se as eleições fossem hoje em quem você votaria? Responda nos comentários 1 - Lula 2 - Bolsonaro 3 - Marina Silva 4 - João Doria 5 - Ciro Gomes 6 - Geraldo Alckmin 7 - Outros 8 - Brancos/nulos/indecisos Vamos contabilizar os votos e depois mostrar o resultado.,,,,,,,8.017073170731708
eju.tv,179694,2017-11-07 00:33:59 BRST,Link,12,9,1,1,4,0,1,1,0,,0,0,0,https://www.facebook.com/148980668463920/posts/1871743209520982,Diputado Quispe se aleja de UN; el partido no le dio oportunidad a las subnacionales - http://eju.tv/2017/11/diputado-quispe-se-aleja-de-un-el-partido-no-le-dio-oportunidad-a-las-subnacionales/,http://eju.tv/2017/11/diputado-quispe-se-aleja-de-un-el-partido-no-le-dio-oportunidad-a-las-subnacionales/,,Diputado Quispe se aleja de UN; el partido no le dio oportunidad a las subnacionales,"El parlamentario de la oposición aseveró que los problemas con la estructura de Unidad Nacional (UN), el partido político de Samuel Doria Medina, datan desde el 2014. Rafael Quispe La Paz, 6 de noviembre (Urgentebo).- El diputado de Unidad Demócrata (UD), Rafael Quispe, manifestó que en Unidad Nacio...",,,-1.3448275862068966
