Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
O Antagonista,786947,2017-11-08 15:22:36 BRST,Link,381,96,22,56,1,14,3,2,0,,0,0,0,https://www.facebook.com/oantagonista/posts/806160272908216,Começo de uma maior aproximação com os cristãos.,https://www.oantagonista.com/brasil/bolsonaro-conta-com-preces-e-os-votos-dos-evangelicos/,,Bolsonaro conta com as preces (e os votos) dos evangélicos,,,,1.4447236180904524
O Antagonista,786947,2017-11-08 15:20:21 BRST,Link,1073,176,95,180,6,10,2,18,0,,0,0,0,https://www.facebook.com/oantagonista/posts/806159222908321,Bolsonaro criticou da Agência Brasileira de Inteligência e defendeu volta de órgão do regime militar.,https://www.oantagonista.com/brasil/bolsonaro-defende-volta-sni/,,Bolsonaro defende a volta do Serviço Nacional de Inteligência,,,,3.919597989949749
Desconstruindo Conceitos,1260107,2017-11-08 15:16:22 BRST,Link,400,23,33,122,3,78,0,3,0,,0,0,0,https://www.facebook.com/desconstruindoconceitos/posts/1956120937980739,Que todos os promotores tomem como exemplo para esse povo aprender a parar de gastar dinheiro atoa 😂,http://www.noticiandoro.com.br/promotor-carioca-pede-retirada-de-outdoors-com-propagando-eleitoral-antecipada-de-jair-bolsonaro/,,Promotor carioca pede retirada de outdoors com “propagando eleitoral antecipada” de Jair Bolsonaro | Noticiando Rondônia,"Promotor carioca pede retirada de outdoors com “propagando eleitoral antecipada” de Jair Bolsonaro Compartilhar no Facebook Tweet no Twitter Compartilhar no WhatsappAs eleições para presidente serão apenas em 2018, porém, por todo Brasil tem se espalhado propaganda política de alguns possíveis candi...",,,-1.5770392749244713
Radialistas,6247,2017-11-08 15:15:34 BRST,Link,1,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/radialistasrj/posts/1993967724219222,"Hegemonia 2.0: Revoluções, eleições e fascismo na era das grandes redes Fábio Malini é hoje um dos principais pesquisadores brasileiros na área de redes sociais e política, tendo produzido as cartografias das redes de 2013, do impeachment e das manifestações contra Temer no LABIC/UFES. Neste domingo ele recebe Paolo Gerbaudo, pesquisador do King's College de Londres, que participou e estudou o Occupy Wall Street e a Primavera Arabe. Com a mediação de Kenzo Soares, mestrando do PPGCOM/ECO e do NETLAB, os pesquisadores pretendem apresentar as pesquisas mais recentes na área de redes, política, uso de robôs e a influência da internet nas eleições. Alguns dos temas que serão abordados: do Ocuppy Wall Street a Trump. Das Jornadas de Junho a Bolsonaro. Do Podemos ao Brexit. A disputa política medida pelo número de likes e compartilhamentos. As grandes manifestações cada vez mais reféns dos algoritmos. O debate dia 12 de novembro ocorrerá às 14h, na ONG Horizonte, na Favela do Vidigal,...",https://www.facebook.com/events/187628635141840/,,"Hegemonia 2.0: Revoluções, eleições e fascismo","📌 12Nov | 14h - ""Hegemonia 2.0: Revoluções, eleições e fascismo na era das grandes redes"" com Paolo Gerbaudo e Fábio Malini. Na mediação estará Kenzo Soares, jovem referência no midiativismo e coordenador do programa ""Se a Cidade Fosse Nossa"".


Do Ocuppy Wall Street a Trump. Das Jornadas de Junho a Bolsonaro. Do Podemos ao Brexit. A disputa política medida pelo número de likes e compartilhamentos. As grandes manifestações cada vez mais reféns dos algoritmos, que foram descobertos pela esquerda e depois capturados pela direita. 

Curtiu? Participe da Festa Literária das Periferias (FLUP)
https://www.facebook.com/events/220300471841430/


Data: De 10 a 15 de novembro,
Local: ONG Horizonte – Av. João Goulart, 290. 
Horário: 9h às 22h
Twitter: https://twitter.com/FlupRJ
Instagram: @fluprj
Site: http://www.flup.net.br/:=:http://flup.net.br/",,,-0.5
Tribuna Hoje,82260,2017-11-08 15:00:00 BRST,Link,1,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/tribunahoje/posts/2143168822367342,,https://goo.gl/ji9faU,http://www.tribunahoje.com/noticia/225288/politica/2017/11/08/policiais-baianos-lancam-manifesto-contra-bolsonaro.html,Policiais baianos lançam manifesto contra Bolsonaro - Tribuna Hoje - O portal de notícias que mais cresce em Alagoas,Grupo ressalta importância dos direitos humanos e da valorização da vida,,,-0.9
Policial Brasileiro,176800,2017-11-08 14:54:41 BRST,Link,1,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/policialbrasileiro/posts/1979153875686955,,https://www.metropoles.com/distrito-federal/politica-df/fadi-faraj-e-jair-bolsonaro-fazem-ao-vivo-no-facebook-nesta-quarta,,Metrópoles,"Chamado para o evento está no portal da Igreja Ministério da Fé, em Taguatinga #MetrópolesBrasil",,,-23.0
BuzzFeed News BR,155339,2017-11-08 14:52:50 BRST,Link,24,40,3,5,0,21,0,64,0,,0,0,0,https://www.facebook.com/BuzzFeedNewsBR/posts/369736610132188,"Pré-candidato disse que MST planeja ""atos terroristas"" e governo federal não toma providências. O MST diz que acusação do deputado não tem fundamento.",https://www.buzzfeed.com/severinomotta/bolsonaro-critica-abin-e-defende-que-brasil-recrie-sni-o?utm_term=.ikkmzKDPXy#.foABAYdvxE,,"Bolsonaro critica Abin e defende que Brasil recrie SNI, o serviço de inteligência da ditadura","Pré-candidato disse que MST planeja ""atos terroristas"" e governo federal não toma providências. O MST diz que acusação do deputado não tem fundamento.",,,2.211267605633803
Amauri Teixeira,78361,2017-11-08 14:46:50 BRST,Link,20,0,6,2,0,0,0,0,0,,0,0,0,https://www.facebook.com/AmauriTeixeira13/posts/1115881498542370,,https://www.brasil247.com/pt/247/bahia247/326277/Policiais-baianos-lan%C3%A7am-manifesto-contra-Bolsonaro.htm,,Policiais baianos lançam manifesto contra Bolsonaro,"O coletivo de Policiais Baianos Progressistas e Pela Democracia escreveu um manifesto de repúdio ao deputado Jair Bolsonaro, pré-candidato à Presidência em 2018; ""Escolhemos essa profissão para proteger as pessoas — nossas famílias, nossos vizinhos, os cidadãos e as cidadãs do nosso estado —, para c...",,,-1.25
Rede Jovem Pan FM,919380,2017-11-08 14:40:25 BRST,Native Video,51,57,0,9,0,32,0,5,0,share,2354,2992,0,https://www.facebook.com/radiojovempan/posts/10155982354099434,,https://www.facebook.com/Paniconoradiojp/videos/360900197655784/,,Pânico no Rádio -  Jovem Pan,"Tico Santa Cruz: ""Eu não voto no Bolsonaro nem amarrado!""",,,8.105263157894736
Pânico no Rádio -  Jovem Pan,N/A,2017-11-08 14:40:09 BRST,Native Video,9,13,3,0,0,7,0,1,0,original,250,1048,0,https://www.facebook.com/Paniconoradiojp/posts/360900197655784,"Tico Santa Cruz: ""Eu não voto no Bolsonaro nem amarrado!""",https://www.facebook.com/Paniconoradiojp/videos/360900197655784/,,"Tico Santa Cruz: ""Eu não voto no Bolsonaro nem amarrado!""",,,,0.0
