Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Pragmatismo Político,1149801,2017-11-07 23:00:00 BRST,Link,484,254,205,2,11,458,42,209,0,,0,0,0,https://www.facebook.com/PragmatismoPolitico/posts/1678428108855589,"Que tipo de cérebro têm pessoas que cogitam Luciano Huck como presidente do Brasil? Diogo Mainardi, por exemplo, acha que Huck é o único candidato que serve para o País. A turma de economistas do 'Partido Novo' tem a mesma opinião. Eles também apoiariam Amauri Junior, Raul Gil, Galvão Bueno, Ana Maria Braga e Faustão?",https://www.pragmatismopolitico.com.br/2017/11/apoiadores-de-luciano-huck-eleicoes.html,,Os apoiadores de Luciano Huck para as eleições de 2018,"apoiadores de Luciano Huck: Que tipo de cérebro têm pessoas que cogitam Luciano Huck como presidente do Brasil? Diogo Mainardi, por exemplo, acha que Huck",,,1.2690548780487805
A Fantástica Fábrica de Indiretas,194170,2017-11-07 22:56:45 BRST,Link,0,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/FantasticaFabricadeIndiretasOficial/posts/1944673552453745,Filho de Luciano e Angélica chama a atenção pela semelhança incrível com a mãe,http://br.blastingnews.com/tv-famosos/2017/11/filho-de-luciano-e-angelica-chama-a-atencao-pela-semelhanca-incrivel-com-a-mae-002144589.html?sbdht=_clhT_AWhXJTzRHy1ZuYlSMiki5siz41veRvahtk2jIzGDO8DP72O7jdt-KbREZG50_,,Filho de Luciano e Angélica chama a atenção pela semelhança incrível com a mãe,O filho de Luciano Huck e Angélica comemorou 10 anos de idade e ganhou homenagem dos pais.,,,-40.0
Eu + Você  =  Um Amor Verdadeiro,869573,2017-11-07 22:56:45 BRST,Link,20,2,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/EuVoceUmAmorVerdadeiro/posts/1371771192949676,Filho de Luciano e Angélica chama a atenção pela semelhança incrível com a mãe,http://br.blastingnews.com/tv-famosos/2017/11/filho-de-luciano-e-angelica-chama-a-atencao-pela-semelhanca-incrivel-com-a-mae-002144589.html?sbdht=_clhT_AWhXJTzRHy1ZuYlSMiki5siz41veRvahtk2jIzGDO8DP72O7jdt-KbREZG50_,,Filho de Luciano e Angélica chama a atenção pela semelhança incrível com a mãe,O filho de Luciano Huck e Angélica comemorou 10 anos de idade e ganhou homenagem dos pais.,,,-3.909090909090909
Bolsonaro Opressor 2.0,908058,2017-11-07 22:54:01 BRST,Link,19,3,10,0,0,2,0,5,0,,0,0,0,https://www.facebook.com/Bolsonaroopressor2.0/posts/1609075825797425,http://veja.abril.com.br/entretenimento/grife-de-luciano-huck-se-desculpa-por-camiseta-infantil-com-estampa-vem-ni-mim/,http://veja.abril.com.br/entretenimento/grife-de-luciano-huck-se-desculpa-por-camiseta-infantil-com-estampa-vem-ni-mim/,,Grife de Luciano Huck se desculpa por camiseta infantil com estampa “Vem ni mim” | VEJA.com,"Na imagem divulgada no site da marca UseHuck, uma criança aparecia com uma peça com a frase ""Vem ni mim que eu tô facin"" estampada",,,-47.15384615384615
Tenho medo de perder quem amo,235694,2017-11-07 22:53:44 BRST,Link,4,0,1,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/tenhomedos4/posts/1895690957137607,Filho de Luciano e Angélica chama a atenção pela semelhança incrível com a mãe,http://br.blastingnews.com/tv-famosos/2017/11/filho-de-luciano-e-angelica-chama-a-atencao-pela-semelhanca-incrivel-com-a-mae-002144589.html?sbdht=_clhT_AWhXJTzRHy1ZuYlSMiki5siz41veRvahtk2jIzGDO8DP72O7jdt-KbREZG50_,,Filho de Luciano e Angélica chama a atenção pela semelhança incrível com a mãe,O filho de Luciano Huck e Angélica comemorou 10 anos de idade e ganhou homenagem dos pais.,,,-5.2
ღ   Meu marido é meu eterno namorado  ღ,216360,2017-11-07 22:53:44 BRST,Link,2,0,0,0,1,0,0,0,0,,0,0,0,https://www.facebook.com/Meumaridomeueternonamorado/posts/384803408641656,Filho de Luciano e Angélica chama a atenção pela semelhança incrível com a mãe,http://br.blastingnews.com/tv-famosos/2017/11/filho-de-luciano-e-angelica-chama-a-atencao-pela-semelhanca-incrivel-com-a-mae-002144589.html?sbdht=_clhT_AWhXJTzRHy1ZuYlSMiki5siz41veRvahtk2jIzGDO8DP72O7jdt-KbREZG50_,,Filho de Luciano e Angélica chama a atenção pela semelhança incrível com a mãe,O filho de Luciano Huck e Angélica comemorou 10 anos de idade e ganhou homenagem dos pais.,,,-12.666666666666666
Frases de Salomão,909808,2017-11-07 22:50:46 BRST,Link,5,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/FrasesDeSalomao/posts/1576498709073945,Filho de Luciano e Angélica chama a atenção pela semelhança incrível com a mãe,http://br.blastingnews.com/tv-famosos/2017/11/filho-de-luciano-e-angelica-chama-a-atencao-pela-semelhanca-incrivel-com-a-mae-002144589.html?sbdht=_clhT_AWhXJTzRHy1ZuYlSMiki5siz41veRvahtk2jIzGDO8DP72O7jdt-KbREZG50_,,Filho de Luciano e Angélica chama a atenção pela semelhança incrível com a mãe,O filho de Luciano Huck e Angélica comemorou 10 anos de idade e ganhou homenagem dos pais.,,,-5.6
"Saudade não mata, mas machuca",524261,2017-11-07 22:50:46 BRST,Link,4,1,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/saudademachucas3/posts/1383092581800197,Filho de Luciano e Angélica chama a atenção pela semelhança incrível com a mãe,http://br.blastingnews.com/tv-famosos/2017/11/filho-de-luciano-e-angelica-chama-a-atencao-pela-semelhanca-incrivel-com-a-mae-002144589.html?sbdht=_clhT_AWhXJTzRHy1ZuYlSMiki5siz41veRvahtk2jIzGDO8DP72O7jdt-KbREZG50_,,Filho de Luciano e Angélica chama a atenção pela semelhança incrível com a mãe,O filho de Luciano Huck e Angélica comemorou 10 anos de idade e ganhou homenagem dos pais.,,,-12.6
O POETA Do AMOR,316385,2017-11-07 22:47:48 BRST,Link,2,0,0,1,0,0,0,0,0,,0,0,0,https://www.facebook.com/PastorDenilsonJesus.com.net/posts/937246959747842,Filho de Luciano e Angélica chama a atenção pela semelhança incrível com a mãe,http://br.blastingnews.com/tv-famosos/2017/11/filho-de-luciano-e-angelica-chama-a-atencao-pela-semelhanca-incrivel-com-a-mae-002144589.html?sbdht=_clhT_AWhXJTzRHy1ZuYlSMiki5siz41veRvahtk2jIzGDO8DP72O7jdt-KbREZG50_,,Filho de Luciano e Angélica chama a atenção pela semelhança incrível com a mãe,O filho de Luciano Huck e Angélica comemorou 10 anos de idade e ganhou homenagem dos pais.,,,-13.333333333333334
Versos Simples,478245,2017-11-07 22:47:48 BRST,Link,0,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/AmanhecerPart/posts/1514352985319896,Filho de Luciano e Angélica chama a atenção pela semelhança incrível com a mãe,http://br.blastingnews.com/tv-famosos/2017/11/filho-de-luciano-e-angelica-chama-a-atencao-pela-semelhanca-incrivel-com-a-mae-002144589.html?sbdht=_clhT_AWhXJTzRHy1ZuYlSMiki5siz41veRvahtk2jIzGDO8DP72O7jdt-KbREZG50_,,Filho de Luciano e Angélica chama a atenção pela semelhança incrível com a mãe,O filho de Luciano Huck e Angélica comemorou 10 anos de idade e ganhou homenagem dos pais.,,,-42.0
