Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Portal GAZ,102710,2017-11-06 07:02:15 BRST,Link,110,49,6,19,3,133,2,3,0,,0,0,0,https://www.facebook.com/portalgaz/posts/1836684416404112,,https://goo.gl/PpC6zG,http://gaz.com.br/conteudos/politica/2017/11/06/106715-pcdob_lanca_manuela_dAvila_como_pre_candidata_a_presidencia.html.php,PCdoB lança Manuela D'Ávila como pré-candidata à Presidência,Deputada estadual do Rio Grande do Sul teve pré-candidatura confirmada pela sigla nesse fim de semana,,,3.5714285714285716
"Arauto FM 95,7",65097,2017-11-06 06:26:42 BRST,Link,7,0,0,0,0,1,0,0,0,,0,0,0,https://www.facebook.com/ArautoFM957/posts/1849108901770318,"Em 2004, com 23 anos, foi eleita a mais jovem vereadora de Porto Alegre. #JornalismoArauto #PortalArauto #Eleições2018",http://www.portalarauto.com.br/Pages/134072/manuela-davila-e-anunciada-como-pre-candidata-a-presidente-em-2018,,Manuela D'Ávila é anunciada como pré-candidata a presidente em 2018 | Portal Arauto,"Aos 36 anos, Manuela é deputada estadual pelo Rio Grande do Sul desde 2015",,,-6.625
Portal Arauto,20962,2017-11-06 06:26:03 BRST,Link,5,0,0,0,0,1,0,0,0,,0,0,0,https://www.facebook.com/arautoportal/posts/797878727058022,"Em 2004, com 23 anos, foi eleita a mais jovem vereadora de Porto Alegre. #JornalismoArauto #PortalArauto #Eleições2018",http://www.portalarauto.com.br/Pages/134072/manuela-davila-e-anunciada-como-pre-candidata-a-presidente-em-2018,,Manuela D'Ávila é anunciada como pré-candidata a presidente em 2018 | Portal Arauto,"Aos 36 anos, Manuela é deputada estadual pelo Rio Grande do Sul desde 2015",,,-4.166666666666667
Exército Conservador,159911,2017-11-06 00:15:08 BRST,Link,297,58,69,0,3,347,1,33,0,,0,0,0,https://www.facebook.com/ExercitoConservador/posts/1481485445491755,Talvez você não saiba quem é ela. É uma comunista que viajou pra Miami de business class para comprar o enxoval do filho. É ou não a cara do comunismo?,https://glo.bo/2AlrpnB,https://g1.globo.com/politica/eleicoes/2018/noticia/pc-do-b-anuncia-manuela-davila-como-pre-candidata-a-presidente-em-2018.ghtml?utm_source=facebook&utm_medium=social&utm_campaign=g1,PC do B anuncia Manuela d'Ávila como pré-candidata a presidente em 2018,"Nas últimas sete eleições presidenciais, PC do B integrou coligações encabeçadas pelo PT. Ex-deputada federal e ex-vereadora, Manuela D'Ávila é deputada estadual no Rio Grande do Sul.",,,3.003717472118959
Afrânio Silva Jardim,67033,2017-11-05 23:59:14 BRST,Youtube,431,63,68,18,0,0,3,2,0,,0,0,0,https://www.facebook.com/afraniojardim/posts/895241343958492,"TAMBÉM SOU A FAVOR DE UMA FRENTE AMPLA DE ESQUERDA. Sempre simpatizei com o PCdoB. Entretanto, embora compreenda a sua opção por apresentar uma excelente candidata à presidente da república, acho que está faltando a ele uma mais apurada sensibilidade política (salvo motivação outra que desconheço). O ex-presidente Lula está longe de ter uma prática socialista e fará alianças à direita, numa perspectiva pragmática. Não fez e não fará um governo de rupturas econômicas e sociais. Nada obstante, é o único candidato de esquerda com reais condições de ganhar as eleições e barrar esta terrível onda fascista e o desmonte do Estado brasileiro, fazer o país crescer e distribuir renda. Acho que o momento é grave e descabe dividir as forças de esquerda novamente. Veja o estrago que a Luciana Genro (Psol) ia fazendo nas eleições passadas. Político tem de fazer política. A pureza ideológica fica para a academia e os intelectuais. Correto o senador Lindberg Farias. Afranio Silva Jardim, professor...",https://www.youtube.com/watch?v=YCFgnXFNEeg,,LINHA JUSTA: CONSTRUÇÃO DE UMA UNIDADE POLÍTICA EM TORNO DO LULA,"Lindbergh: Tenho muito respeito pelo PCdoB e por Manuela Dávila. Eles têm todo o direito de lançar candidato à presidência. Agora, eu acho um erro. Não estam...",,,1.8571428571428572
Ana Júlia,50663,2017-11-05 23:36:23 BRST,Photo,38,3,3,1,0,0,0,0,0,,0,0,0,https://www.facebook.com/anajuliapcdob/posts/745794788965090,"A juventude e a coragem da mulher brasileira. Manuela d'Ávila lança a sua pré candidatura à presidência da república. Texto do camarada Altair Freitas, da Escola Nacional João Amazonas O lançamento da pré candidatura da deputada estadual gaúcha Manuela D'Ávila pelo Comitê Central do PCdoB é uma grande novidade no campo da política e merece ser recebida por toda a militância comunista do Brasil com enorme entusiasmo. Manu, como é carinhosamente chamada, é um grande quadro político e tem enorme capacidade de diálogo com diversos setores sociais e sabe como poucas pessoas trabalhar de modo muito qualificado a presença nas redes sociais. Mulher, jovem, dinâmica, parlamentar experiente em âmbito federal/estadual, dirigente nacional do Partido, seu nome tem tudo para ganhar enorme espaço no cenário nacional em um período profundamente crítico da nossa história. A pré candidatura do PCdoB tem um conjunto de tarefas a cumprir, o que significa dizer que o conjunto da militância tem esse...",https://www.facebook.com/anajuliapcdob/photos/a.129661070578468.1073741828.129648327246409/745794788965090/?type=3,,Timeline Photos,,,,1.2857142857142858
G1 - O Portal de Notícias da Globo,9994396,2017-11-05 23:30:02 BRST,Link,2271,969,151,295,72,2756,16,133,0,,0,0,0,https://www.facebook.com/g1/posts/1872420086143401,"Nas últimas sete eleições presidenciais, partido integrou coligações encabeçadas pelo PT https://glo.bo/2AlrpnB:=:https://g1.globo.com/politica/eleicoes/2018/noticia/pc-do-b-anuncia-manuela-davila-como-pre-candidata-a-presidente-em-2018.ghtml?utm_source=facebook&utm_medium=social&utm_campaign=g1 #G1",https://glo.bo/2AlrpnB,https://g1.globo.com/politica/eleicoes/2018/noticia/pc-do-b-anuncia-manuela-davila-como-pre-candidata-a-presidente-em-2018.ghtml?utm_source=facebook&utm_medium=social&utm_campaign=g1,PC do B anuncia Manuela d'Ávila como pré-candidata a presidente em 2018,,,,1.4298283261802576
Sputnik Brasil,128861,2017-11-05 23:22:42 BRST,Link,379,113,58,52,9,131,4,9,0,,0,0,0,https://www.facebook.com/br.sputnik/posts/915284311960736,"Comunistas lançarão a primeira candidatura própria desde a redemocratização, e a esquerda pode ter até 4 candidatos em 2018.",https://br.sputniknews.com/brasil/201711059765757-pc-do-b-manuela-davila-candidata-2018/,,PCdoB deixa PT de lado e anuncia Manuela D'Ávila como candidata à Presidência em 2018,,,,5.27972027972028
Brasil 247,890446,2017-11-05 22:15:02 BRST,Link,561,63,59,27,1,9,1,0,0,,0,0,0,https://www.facebook.com/Brasil247/posts/1798352860217713,Gleisi previu aliança entre PT e PCdoB,https://www.brasil247.com/pt/247/brasil/325850/Gleisi-elogia-Manuela-e-prev%C3%AA-encontro-%E2%80%9Cali-na-frente%E2%80%9D.htm,,Gleisi elogia Manuela e prevê encontro “ali na frente”,"A presidente do PT, senador Gleisi Hoffmann, elogiou a decisão do PCdoB de lançar a pré-candidatura da deputada federal Manuel d'Ávila à presidência da República; ""PCdoB lança Manuela d'Ávila à presidência da República. Grande quadro político, grande mulher! Ali na frente nos encontraremos Manu!"", d...",,,-1.0610263522884882
CGN - Central Gazeta de Notícias,372557,2017-11-05 22:10:36 BRST,Link,27,18,1,1,1,16,0,0,0,,0,0,0,https://www.facebook.com/PORTALCGN/posts/1886928901348065,,http://cgn.uol.com.br/noticia/259206/pcdob-anuncia-pre-candidatura-de-manuela-davila-a-presidencia,,PCdoB anuncia pré-candidatura de Manuela D'Ávila à Presidência,"Manuela, de 36 anos, é deputada estadual pelo Rio Grande do Sul desde 2015...",,,-1.671875
